ts,date,o,h,l,c
1644793200,2022-02-13T23:00:00.000Z,34767.8,34773.7,34683.3,34688.3
1644794100,2022-02-13T23:15:00.000Z,34688.8,34745.8,34687.8,34723.3
1644795000,2022-02-13T23:30:00.000Z,34723.8,34767.8,34719.3,34767.8
1644795900,2022-02-13T23:45:00.000Z,34767.3,34827.7,34766.3,34804.3
1644796800,2022-02-14T00:00:00.000Z,34804.8,34843.2,34800.3,34827.7
1644797700,2022-02-14T00:15:00.000Z,34828.2,34835.2,34783.8,34787.8
1644798600,2022-02-14T00:30:00.000Z,34788.3,34800.3,34728.8,34794.8
1644799500,2022-02-14T00:45:00.000Z,34796.8,34810.8,34784.3,34800.8
1644800400,2022-02-14T01:00:00.000Z,34803.8,34819.8,34777.4,34786.5
1644801300,2022-02-14T01:15:00.000Z,34787.4,34809.4,34759.9,34762.4
1644802200,2022-02-14T01:30:00.000Z,34762.9,34778.2,34720.2,34736.2
1644803100,2022-02-14T01:45:00.000Z,34735.7,34747.7,34712.7,34730.2
1644804000,2022-02-14T02:00:00.000Z,34729.7,34741.7,34713.7,34732.7
1644804900,2022-02-14T02:15:00.000Z,34733.2,34736.2,34709.1,34720.6
1644805800,2022-02-14T02:30:00.000Z,34723.6,34771.3,34722.6,34770.8
1644806700,2022-02-14T02:45:00.000Z,34769.8,34781.7,34758.8,34759.3
1644807600,2022-02-14T03:00:00.000Z,34759.8,34772.8,34738.8,34741.2
1644808500,2022-02-14T03:15:00.000Z,34741.7,34792.8,34739.7,34778.8
1644809400,2022-02-14T03:30:00.000Z,34779.8,34806.3,34778.8,34785.2
1644810300,2022-02-14T03:45:00.000Z,34785.7,34812.7,34777.7,34806.7
1644811200,2022-02-14T04:00:00.000Z,34805.7,34806.2,34787.2,34796.7
1644812100,2022-02-14T04:15:00.000Z,34794.7,34810.8,34791.8,34803.8
1644813000,2022-02-14T04:30:00.000Z,34803.3,34812.8,34780.4,34795.4
1644813900,2022-02-14T04:45:00.000Z,34794.9,34807.4,34793.4,34803.9
1644814800,2022-02-14T05:00:00.000Z,34803.4,34828.4,34791.9,34794.4
1644815700,2022-02-14T05:15:00.000Z,34793.9,34814.4,34789.4,34806.9
1644816600,2022-02-14T05:30:00.000Z,34805.9,34812.9,34782.9,34784.4
1644817500,2022-02-14T05:45:00.000Z,34785.4,34792.4,34770.9,34784.3
1644818400,2022-02-14T06:00:00.000Z,34786.8,34798.3,34779.0,34793.3
1644819300,2022-02-14T06:15:00.000Z,34793.8,34793.8,34775.3,34783.3
1644820200,2022-02-14T06:30:00.000Z,34783.8,34784.3,34733.1,34735.8
1644821100,2022-02-14T06:45:00.000Z,34735.3,34781.8,34729.6,34781.2
1644822000,2022-02-14T07:00:00.000Z,34781.2,34782.6,34697.7,34732.7
1644822900,2022-02-14T07:15:00.000Z,34732.2,34767.2,34718.7,34736.6
1644823800,2022-02-14T07:30:00.000Z,34737.1,34765.6,34722.7,34760.8
1644824700,2022-02-14T07:45:00.000Z,34761.8,34849.1,34738.8,34795.6
1644825600,2022-02-14T08:00:00.000Z,34794.6,34799.6,34691.8,34716.7
1644826500,2022-02-14T08:15:00.000Z,34717.7,34719.7,34515.3,34515.3
1644827400,2022-02-14T08:30:00.000Z,34516.3,34551.2,34452.4,34537.9
1644828300,2022-02-14T08:45:00.000Z,34537.4,34554.3,34424.8,34450.8
