ts,date,o,h,l,c
1330992000,2012-03-06T00:00:00.000Z,12958.7,12958.8,12734.9,12759.2
1331078400,2012-03-07T00:00:00.000Z,12756.1,12857.7,12751.5,12837.3
1331164800,2012-03-08T00:00:00.000Z,12835.5,12937.2,12835.5,12907.9
1331251200,2012-03-09T00:00:00.000Z,12908.6,12968.8,12906.4,12922.0
1331510400,2012-03-12T00:00:00.000Z,12920.6,12976.4,12920.0,12959.7
1331596800,2012-03-13T00:00:00.000Z,12953.2,13180.4,12953.1,13177.7
1331683200,2012-03-14T00:00:00.000Z,13177.2,13221.3,13166.3,13194.2
1331769600,2012-03-15T00:00:00.000Z,13193.0,13253.5,13170.2,13252.8
1331856000,2012-03-16T00:00:00.000Z,13253.5,13289.1,13231.4,13232.6
1332115200,2012-03-19T00:00:00.000Z,13231.9,13269.7,13208.6,13239.1
1332201600,2012-03-20T00:00:00.000Z,13238.5,13238.5,13123.4,13170.2
1332288000,2012-03-21T00:00:00.000Z,13170.8,13190.0,13112.9,13124.6
1332374400,2012-03-22T00:00:00.000Z,13124.4,13124.5,13017.4,13046.1
1332460800,2012-03-23T00:00:00.000Z,13046.0,13099.9,13002.8,13080.7
1332720000,2012-03-26T00:00:00.000Z,13082.6,13243.8,13082.4,13241.6
1332806400,2012-03-27T00:00:00.000Z,13242.1,13265.0,13194.3,13197.7
1332892800,2012-03-28T00:00:00.000Z,13195.4,13212.7,13069.3,13126.2
1332979200,2012-03-29T00:00:00.000Z,13126.0,13151.6,13032.7,13145.8
1333065600,2012-03-30T00:00:00.000Z,13147.9,13224.5,13147.7,13212.0
1333324800,2012-04-02T00:00:00.000Z,13211.4,13297.2,13153.7,13264.5
1333411200,2012-04-03T00:00:00.000Z,13259.0,13265.4,13131.2,13199.6
1333497600,2012-04-04T00:00:00.000Z,13198.2,13198.2,13020.9,13074.8
1333584000,2012-04-05T00:00:00.000Z,13067.2,13088.1,13012.5,13060.2
1333929600,2012-04-09T00:00:00.000Z,13057.6,13057.8,12903.8,12929.6
1334016000,2012-04-10T00:00:00.000Z,12929.4,12929.6,12710.5,12715.9
1334102400,2012-04-11T00:00:00.000Z,12716.9,12844.8,12716.9,12805.4
1334188800,2012-04-12T00:00:00.000Z,12806.5,12987.0,12806.3,12986.6
1334275200,2012-04-13T00:00:00.000Z,12986.2,12986.4,12845.3,12849.6
1334534400,2012-04-16T00:00:00.000Z,12850.9,12986.8,12850.8,12921.4
1334620800,2012-04-17T00:00:00.000Z,12921.8,13131.4,12921.8,13115.6
1334707200,2012-04-18T00:00:00.000Z,13114.6,13114.6,13027.5,13032.8
1334793600,2012-04-19T00:00:00.000Z,13028.7,13080.2,12896.8,12964.1
1334880000,2012-04-20T00:00:00.000Z,12964.5,13082.6,12964.3,13029.3
1335139200,2012-04-23T00:00:00.000Z,13028.2,13028.2,12845.6,12927.2
1335225600,2012-04-24T00:00:00.000Z,12927.8,13050.3,12926.5,13001.6
1335312000,2012-04-25T00:00:00.000Z,12997.7,13105.7,12993.6,13090.7
1335398400,2012-04-26T00:00:00.000Z,13090.1,13227.8,13075.9,13204.6
1335484800,2012-04-27T00:00:00.000Z,13204.7,13266.7,13192.2,13228.3
1335744000,2012-04-30T00:00:00.000Z,13228.3,13228.8,13176.0,13213.6
1335830400,2012-05-01T00:00:00.000Z,13214.2,13338.7,13174.7,13279.4
1335916800,2012-05-02T00:00:00.000Z,13278.1,13278.1,13192.2,13268.6
1336003200,2012-05-03T00:00:00.000Z,13267.6,13284.1,13175.6,13206.6
1336089600,2012-05-04T00:00:00.000Z,13204.6,13205.0,13022.3,13038.2
1336348800,2012-05-07T00:00:00.000Z,13035.9,13049.1,12970.0,13008.6
1336435200,2012-05-08T00:00:00.000Z,13000.7,13000.7,12810.4,12932.1
