ts,date,o,h,l,c
1673549520,2023-01-12T18:52:00.000Z,34237.3,34245.7,34235.9,34240.7
1673549580,2023-01-12T18:53:00.000Z,34240.7,34267.2,34240.7,34256.8
1673549640,2023-01-12T18:54:00.000Z,34255.8,34284.3,34255.3,34264.2
1673549700,2023-01-12T18:55:00.000Z,34265.7,34276.1,34253.4,34273.6
1673549760,2023-01-12T18:56:00.000Z,34272.6,34278.6,34261.8,34271.7
1673549820,2023-01-12T18:57:00.000Z,34271.2,34279.2,34261.4,34272.9
1673549880,2023-01-12T18:58:00.000Z,34272.9,34281.3,34268.0,34273.0
1673549940,2023-01-12T18:59:00.000Z,34274.0,34281.3,34264.4,34270.8
1673550000,2023-01-12T19:00:00.000Z,34272.3,34283.6,34269.4,34271.7
1673550060,2023-01-12T19:01:00.000Z,34271.7,34275.2,34265.3,34273.3
1673550120,2023-01-12T19:02:00.000Z,34274.3,34287.1,34266.7,34266.7
1673550180,2023-01-12T19:03:00.000Z,34267.2,34271.7,34244.4,34259.3
1673550240,2023-01-12T19:04:00.000Z,34258.8,34260.7,34232.6,34241.5
1673550300,2023-01-12T19:05:00.000Z,34241.5,34252.8,34241.0,34244.0
1673550360,2023-01-12T19:06:00.000Z,34243.6,34251.9,34234.7,34248.4
1673550420,2023-01-12T19:07:00.000Z,34248.9,34256.3,34239.2,34240.2
1673550480,2023-01-12T19:08:00.000Z,34239.8,34265.0,34235.3,34254.2
1673550540,2023-01-12T19:09:00.000Z,34254.2,34259.2,34219.2,34230.6
1673550600,2023-01-12T19:10:00.000Z,34229.5,34238.5,34219.8,34223.7
1673550660,2023-01-12T19:11:00.000Z,34223.2,34236.6,34220.8,34233.5
1673550720,2023-01-12T19:12:00.000Z,34233.5,34247.3,34231.5,34237.1
1673550780,2023-01-12T19:13:00.000Z,34236.1,34244.8,34227.7,34234.4
1673550840,2023-01-12T19:14:00.000Z,34235.0,34255.1,34233.5,34247.6
1673550900,2023-01-12T19:15:00.000Z,34248.1,34251.2,34231.9,34237.8
1673550960,2023-01-12T19:16:00.000Z,34237.8,34239.8,34221.9,34229.9
1673551020,2023-01-12T19:17:00.000Z,34230.4,34238.7,34223.9,34232.3
